station_id	datetime_utc	sa	ra
1080000034	2013-01-23 13:50:00	73	-888
1150000003	2013-01-23 13:50:00	39	0
1070000021	2013-01-23 13:50:00	814	-888
1410000011	2013-01-23 13:50:00	28	-888
1040000006	2013-01-23 13:50:00	-999	-999
1080000032	2013-01-23 13:50:00	49	-888
1140000013	2013-01-23 13:50:00	44	-888
1010000007	2013-01-23 13:50:00	14	0
1010000004	2013-01-23 13:50:00	20	0
1080000017	2013-01-23 13:50:00	60	-888
1380000035	2013-01-23 13:50:00	21	-888
1040000002	2013-01-23 13:50:00	33	0
1080000033	2013-01-23 13:50:00	60	-888
1170000001	2013-01-23 13:50:00	46	0
1080000026	2013-01-23 13:50:00	49	0
1080000023	2013-01-23 13:50:00	66	0
1330000002	2013-01-23 13:50:00	27	0
1080000005	2013-01-23 13:50:00	63	0
1150000006	2013-01-23 13:50:00	38	0
1410000002	2013-01-23 13:50:00	29	-888
1460000006	2013-01-23 13:50:00	43	0
1140000008	2013-01-23 13:50:00	44	-888
1170000003	2013-01-23 13:50:00	48	0
1180000011	2013-01-23 13:50:00	39	0
1410000010	2013-01-23 13:50:00	33	-888
1010000005	2013-01-23 13:50:00	16	0
1080000025	2013-01-23 13:50:00	56	-888
1080000008	2013-01-23 13:50:00	73	0
1260000006	2013-01-23 13:50:00	37	0
1140000011	2013-01-23 13:50:00	37	-888
1040000013	2013-01-23 13:50:00	-999	-999
1070000007	2013-01-23 13:50:00	3726	0
1140000003	2013-01-23 13:50:00	35	-888
1220000004	2013-01-23 13:50:00	44	0
1010000006	2013-01-23 13:50:00	20	0
1010000003	2013-01-23 13:50:00	21	0
1320000005	2013-01-23 13:50:00	43	-888
1320000002	2013-01-23 13:50:00	40	0
1150000011	2013-01-23 13:50:00	30	0
1180000007	2013-01-23 13:50:00	77	0
1180000005	2013-01-23 13:50:00	71	0
1220000018	2013-01-23 13:50:00	45	0
1380000031	2013-01-23 13:50:00	18	-888
1380000001	2013-01-23 13:50:00	17	0
1080000037	2013-01-23 13:50:00	52	0
1180000023	2013-01-23 13:50:00	31	0
1150000004	2013-01-23 13:50:00	36	0
1310000001	2013-01-23 13:50:00	32	0
1270000011	2013-01-23 13:50:00	52	-888
1270000012	2013-01-23 13:50:00	37	0
1070000024	2013-01-23 13:50:00	-999	-888
1070000013	2013-01-23 14:00:00	299	-888
1070000022	2013-01-23 14:00:00	1281	-888
1180000001	2013-01-23 14:00:00	59	0
1020000025	2013-01-23 14:00:00	21	-888
1170000002	2013-01-23 14:00:00	47	0
1320000009	2013-01-23 14:00:00	36	-888
1080000029	2013-01-23 14:00:00	53	-888
1180000011	2013-01-23 14:00:00	40	0
1080000009	2013-01-23 14:00:00	87	-888
1150000001	2013-01-23 14:00:00	42	0
1070000025	2013-01-23 14:00:00	1789	-888
1080000010	2013-01-23 14:00:00	94	-888
1310000001	2013-01-23 14:00:00	31	0
1150000004	2013-01-23 14:00:00	36	0
1380000002	2013-01-23 14:00:00	23	-888
1020000006	2013-01-23 14:00:00	16	0
1080000034	2013-01-23 14:00:00	72	-888
1170000001	2013-01-23 14:00:00	47	0
1270000010	2013-01-23 14:00:00	42	-888
1070000009	2013-01-23 14:00:00	16230	-888
1140000006	2013-01-23 14:00:00	44	0
1080000022	2013-01-23 14:00:00	67	-888
1260000002	2013-01-23 14:00:00	35	0
1070000016	2013-01-23 14:00:00	242	-888
1330000003	2013-01-23 14:00:00	38	0
1180000025	2013-01-23 14:00:00	27	0
1140000011	2013-01-23 14:00:00	37	-888
1010000009	2013-01-23 14:00:00	14	0
1080000006	2013-01-23 14:00:00	78	-888
1170000008	2013-01-23 14:00:00	47	0
